,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
307,226009,2015,33,24,1.33,1,-,-,8,1,2,-,-,-,1.587',1.587'
308,250841,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,265645,2015,16,10,1.10,-,-,-,-,3,2,-,-,-,-,742'
310,276877,2015,15,12,1.33,-,-,-,-,-,2,-,-,-,-,1.080'
311,277361,2015,31,27,1.33,-,4,-,6,5,6,-,-,-,-,2.020'
312,100011,2015,47,41,1.15,-,1,-,4,10,12,1,1,-,-,3.177'
313,115381,2015,15,13,1.23,-,-,-,1,-,4,-,-,-,-,1.127'
314,174869,2015,23,21,1.52,1,1,-,2,-,1,2,-,1,1.633',1.633'
315,186768,2015,28,20,1.60,1,-,1,4,2,2,-,-,-,1.442',1.442'
316,187759,2015,25,14,0.36,-,-,-,-,2,5,-,-,-,-,1.226'
317,267464,2015,49,39,1.62,-,-,-,1,-,7,2,-,-,-,3.421'
318,74453,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,190314,2015,26,26,1.00,1,-,-,-,3,3,-,-,-,2.315',2.315'
320,20797,2015,29,29,1.24,14,4,-,-,1,5,-,2,7,188',2.637'
321,87277,2015,64,49,1.49,1,2,-,1,-,9,-,1,-,4.330',4.330'
322,104277,2015,32,15,0.53,-,-,-,2,-,7,1,-,-,-,1.171'
323,116829,2015,21,13,1.23,1,-,-,4,5,1,-,-,-,775',775'
324,141957,2015,36,23,1.35,4,-,1,2,-,3,-,1,-,458',1.831'
325,273442,2015,36,22,1.55,-,3,-,7,-,2,-,-,-,-,1.542'
326,292353,2015,46,35,1.40,-,-,-,4,3,8,-,-,-,-,2.759'
327,433949,2015,52,43,1.40,-,-,-,3,1,11,-,-,-,-,3.626'
328,25106,2015,37,35,1.03,1,2,-,-,1,3,-,-,-,3.165',3.165'
