,ID,ano_stat,escalado,jogou,ppm,gols_para,assistencias,gols_contra,entrou,saiu,amarelo,amarelo_duplo,vermelho,Gols_de_penalti,minutos_por_gol,minutos
237,87157,2014,26,24,1.92,19,2,-,4,7,12,-,-,4,90',1.702'
238,92691,2014,17,12,1.75,1,-,-,10,2,-,-,-,-,309',309'
239,134242,2014,34,30,1.50,11,-,-,9,17,6,-,-,1,153',1.679'
240,135061,2014,28,26,1.50,4,-,-,11,9,5,-,-,-,365',1.458'
241,157707,2014,7,7,0.57,-,-,-,-,3,3,-,-,-,-,586'
242,187209,2014,22,12,1.42,2,-,-,6,6,6,-,-,-,298',595'
243,374093,2014,9,8,0.25,-,-,-,3,2,3,-,-,-,-,404'
244,237058,2014,48,45,1.47,1,3,-,10,8,11,-,-,-,3.181',3.181'
245,18975,2014,23,19,2.37,4,3,-,11,5,-,-,-,1,198',793'
246,55343,2014,28,28,1.64,5,-,-,17,2,3,-,-,-,286',1.428'
247,71876,2014,21,20,1.00,-,4,-,1,11,4,-,-,-,-,1.561'
248,104592,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,128934,2014,32,31,1.13,6,4,-,8,6,3,-,1,-,356',2.134'
250,139647,2014,23,23,1.78,8,-,-,6,10,1,-,-,-,188',1.500'
251,148664,2014,1,1,,-,-,-,1,-,-,-,-,-,-,27'
252,149379,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
253,214146,2014,31,17,1.47,2,-,-,11,3,1,-,-,-,351',701'
254,232296,2014,23,22,1.36,6,-,-,11,10,1,-,-,-,193',1.157'
255,76104,2014,5,4,0.50,-,-,-,2,1,-,-,-,-,-,240'
256,170788,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,12151,2014,13,12,1.67,7,4,-,2,1,2,-,-,-,133',928'
258,44349,2014,25,16,0.31,3,1,-,5,5,1,-,-,-,331',994'
259,45638,2014,23,22,1.32,8,1,-,1,14,2,-,-,3,206',1.647'
260,52326,2014,30,25,1.44,3,3,-,8,7,1,-,-,1,494',1.483'
261,54464,2014,35,16,1.44,2,1,-,13,3,-,-,-,-,168',335'
262,58729,2014,10,10,0.90,2,1,-,4,-,2,-,-,1,294',587'
263,66322,2014,20,18,1.06,7,2,-,4,5,1,-,1,1,177',1.237'
264,69795,2014,12,11,1.09,3,-,-,2,7,1,-,-,-,246',737'
265,81457,2014,47,42,1.57,11,1,-,18,20,3,-,-,2,192',2.112'
266,109131,2014,25,19,2.05,2,1,-,5,12,2,-,-,-,516',1.032'
267,110077,2014,28,21,1.29,3,1,-,16,5,2,-,-,-,242',726'
